CODE,NEDERLANDSE OMSCHRIJVING ,ENGELSE OMSCHRIJVING
7729901,Verhuur van decors,Rental of decoration
7729902,Verhuur van boeken en tijdschriften,Rental of books and periodicals
7729903,Verhuur van muziekinstrumenten,Leasing or rental services of musical instruments
7729904,"Verhuur van overige roerende goederen voor persoonlijk of huishoudelijk gebruik, n.e.g.",Rental of other personal and household goods’ n.e.c.
773,Verhuur en lease van andere machines en werktuigen en andere materiële goederen,"Renting and leasing of other machinery, equipment and tangible goods"
7731,Verhuur en lease van landbouwmachines en -werktuigen,Renting and leasing of agricultural machinery and equipment
77310,Verhuur en lease van landbouwmachines en -werktuigen,Renting and leasing of agricultural machinery and equipment
7731001,Verhuur van landbouwtractoren en motoculteurs,Rental of agricultural tractors and power tillers
7731002,"Verhuur van machines en werktuigen voor de landbouw, veeteelt, bosbouw,zonder bedieningspersoneel (= verhuur van de producten die worden vervaardigd in groep 29.3)","Rental of machinery and equipment for agriculture, raising and logging, without operator (= rental of products manufactured in group 29.3)"
7732,Verhuur en lease van machines en installaties voor de bouwnijverheid en de weg- en waterbouw,Renting and leasing of construction and civil engineering machinery and equipment
77320,Verhuur en lease van machines en installaties voor de bouwnijverheid en de weg- en waterbouw,Rental and leasing of construction and civil engineering machinery and equipment
7732001,"Verhuur en operationele leasing van machines en installaties voor de burgerlijke en utiliteitsbouw en voor de weg- en waterbouw, zonder bedieningspersoneel(kranen,betonmolens, enz.)","Rental and leasing of machinery and equipment for construction and civil engineering, without operator (cranes, bulldozers, cement mixers, etc.)"
7732002,Verhuur van steigers en werkplatforms zonder optrekken en afbreken,"Rental of scaffolding and work platforms, without assembly or dismantling"
7733,"Verhuur en lease van kantoormachines, inclusief computers",Renting and leasing of office machinery and equipment (including computers)
77330,"Verhuur en lease van kantoormachines, inclusief computers",Renting and leasing of office machinery and equipment (including computers)
7733001,"Verhuur en operationele leasing van kantoormachines, incl. computers, zonder bedieningspersoneel : computerapparatuur, duplicators, fotokopieermachines, schrijfmachines, tekstverwerkers, enz.","Renting and leasing of office machines and equipment, without operator: computers, computer machinery and equipment, duplicators, photocopiers, typewriters and word processors, etc."
7733002,Verhuur van standaard-programmatuur,"Rental, or payment for the use of software"
7734,Verhuur en lease van schepen,Renting and leasing of water transport equipment
77340,Verhuur en lease van schepen,Renting and leasing of water transport equipment
7734001,"Verhuur en operationele leasing van transportmiddelen voor vervoer over water, zoals vrachtschepen, cargo's enz. zonder bemanning","Rental and leasing of marine and river transport equipment such as ships, cargo ships and transport vessels, without crew"
7735,Verhuur en lease van luchtvaartuigen,Renting and leasing of air transport equipment
77350,Verhuur en lease van luchtvaartuigen,Rental and leasing of air transport equipment
7735001,"Verhuur en operationele leasing van transportmiddelen voor luchtvervoer, zonder piloot","Rental and leasing of air transport equipment, unmanned"
7739,"Verhuur en lease van andere machines en werktuigen en andere materiële goederen, n.e.g.","Renting and leasing of other machinery, equipment and tangible goods n.e.c."
77391,"Verhuur en lease van speel-, amusement-, en verkoopautomaten","Rental and leasing of slot machines, gaming machines and automatic product sales machines"
7739101,"Verhuur en operationele leasing zonder bedieningspersoneel van speelautomaten, en al dan niet elektronische spelen voor café's, casino's,enz.","Rental and leasing of slot machines and games, electronic and non-electronic, for cafés, casinos, etc."
77392,Verhuur en lease van tenten,Rental and leasing of tents
7739201,"Verhuur en operationele leasing zonder bedieningspersoneel van tenten voor tentoonstellingen, bedrijfsfeesten, concerten, enz.","Rental and leasing of marquees for exhibitions, company parties, concerts, etc., without operator"
77393,Verhuur en lease van caravans en motorhomes,Rental and leasing of caravans and motor homes
77394,Verhuur en lease van woon- en bureelcontainers en dergelijke accommodatie,"Rental and leasing services of residential, office and similar containers"
77399,Verhuur en lease van andere machines en werktuigen en andere materiële goederen,"Rental and leasing of other machinery, equipment and tangible goods"
7739901,"Verhuur en operationele leasing zonder bedieningspersoneel van motoren,turbines, compressoren, gereedschapswerktuigen","Rental and leasing of engines and turbines, compressors, machine tools, without operator"
7739902,Verhuur en operationele leasing zonder bedieningspersoneel van radio- en televisie- en communicatieapparatuur,"Rental and leasing of radio, television and communication equipment, without operator"
7739903,Verhuur en operationele leasing zonder bedieningspersoneel van meet-en regelapparatuur,"Rental and leasing of measuring and control equipment, without operator"
7739904,"Verhuur en operationele leasing zonder bedieningspersoneel van overige apparatuur voor wetenschappelijke, commerciële en industrieële doeleinden, inclusief verkoopautomaten.","Rental and leasing of other machinery and equipment for scientific, commercial and industrial use, including automatic machines for the sale of products, without operator"
774,"Lease van intellectuele eigendom en vergelijkbare producten, met  uitzondering van werken onder auteursrecht","Leasing of intellectual property and similar products, except copyrighted works"
7740,"Lease van intellectuele eigendom en vergelijkbare producten, met  uitzondering van werken onder auteursrecht","Leasing of intellectual property and similar products, except copyrighted works"
77400,"Lease van intellectuele eigendom en vergelijkbare producten, met  uitzondering van werken onder auteursrecht","Leasing of intellectual property and similar products, except copyrighted works"
78,Terbeschikkingstelling van personeel,Employment activities
781,Arbeidsbemiddeling,Activities of employment placement agencies
7810,Arbeidsbemiddeling,Activities of employment placement agencies
78100,Arbeidsbemiddeling,Activities of employment placement agencies
7810001,"Zoeken, selecteren, verwijzen en plaatsen van personeel t.b.v. latere werkgever of werkzoeker : formulering van taakomschrijvingen; op geschiktheid testen van sollicitanten; natrekken van referenties","Research, selection, orientation and placement of personnel for employers or job seekers: formulation of job descriptions; selection and examination of candidates"
7810002,Zoeken en plaatsen van directieleden (headhunters),"Research and placement of executives (""head-hunters"")"
7810003,Plaatsen voor rekening van de bedrijven van personeelsleden die werkloos zijn geworden ten gevolge van een reorganisatie (outplacement),"Placement of staff, on behalf of companies, of staff who have lost their work as a result of outplacement"
7810004,"Overheidsdiensten voor arbeidsbemiddeling, inclusief de eventueel daaraan verbonden beroepsopleiding (VDAB, Brusselse gewestelijke dienst voor arbeidsbemiddeling, enz.)","Public employment services, including possibly their vocational training activities (Community and Regional Office for Vocational Training and Employment, ORBEM, etc.)"
7810011,"Agentschap voor fotomodellen, mannequins, hostessen en dergelijke","Modelling agencies, hostesses and similar"
7810021,"Zoeken van acteurs voor film, televisie en theater","Hiring and casting of actors for cinematographic films, television shows and plays"
782,Uitzendbureaus,Temporary employment agency activities
7820,Uitzendbureaus,Temporary employment agency activities
78200,Uitzendbureaus,Temporary employment agency activities
783,Andere vormen van arbeidsbemiddeling,Other human resources provision
7830,Andere vormen van arbeidsbemiddeling,Other human resources provision
78300,Andere vormen van arbeidsbemiddeling,Other human resources provision
79,"Reisbureaus, reisorganisatoren, reserveringsbureaus en aanverwante activiteiten","Travel agency, tour operator reservation service and related activities"
791,Reisbureaus en reisorganisatoren,Travel agency and tour operator activities
7911,Reisbureaus,Travel agency activities
79110,Reisbureaus,Travel agency activities
7911001,Verschaffen van informatie en advies over reizen,Provision of travel information and advice
7911002,"Organiseren van reizen en excursies van kortere duur, regelen van 'reizen op maat', onderdak en vervoer van reizigers en toeristen","Organisation of short trips and excursions, organisation of personalised trips, accommodation and transport of passengers and tourists"
7911003,Verkoop aan de hand van brochures en catalogi van door touroperators georganiseerde reizen,Sales on the basis of brochures and tour catalogues organised by tour operators
7911004,"Verkoop van entreekaarten, enz.",Sale of entrance tickets
7912,Reisorganisatoren,Tour operator activities
79120,Reisorganisatoren,Tour operator activities
7912001,"Reisorganisatoren,die,in het algemeen,een uitgebreid assortiment van reizen aanbieden,waarbij de cliënt aan de hand van brochures en catalogi kan kiezen tussen diverse formules en bestemmingen",Travel organisers who generally present a wide range of travel.  Their customers can choose from several formulas and destinations using brochures and catalogues
7912002,Organisatoren die gespecialiseerd zijn in een bepaalde vakantieformule en daarin diverse bestemmingen aanbieden,Organisers specialising in a specific holiday formula for which they offer various destinations
799,Reserveringsbureaus en aanverwante activiteiten,Other reservation service and related activities
7990,Reserveringsbureaus en aanverwante activiteiten,Other reservation service and related activities
79901,Toeristische informatiediensten,Tourist information services
7990101,"Reisbegeleiders en gidsen, toeristische informatiediensten en dergelijke","Guides, tourist information services and suchlike"
79909,Overige reserveringsactiviteiten,Other reservation services
7990901,Kaartverkoop en plaatsbespreking,Operation of ticket agencies and ticket reservations
80,Beveiligings- en opsporingsdiensten,Security and investigation activities
801,Particuliere beveiliging,Private security activities
8010,Particuliere beveiliging,Private security activities
80100,Particuliere beveiliging,Private security activities
8010001,"Houden van toezicht, bewaking en andere activiteiten ter bescherming van personen of eigendommen : lijfwachten, straatpatrouilles, bewaking van woningen, kantoren, fabrieken, bouwterreinen, enz.","Supervision, custody and other protection activities for persons or property: bodyguards, urban patrols, surveillance of dwellings, offices, factories, construction sites, etc."
8010002,Vervoer van geld en waardepapieren,Transportation of cash and valuables
8010003,Africhten van honden voor bewakingsdoeleinden,Training of guard dogs
802,Diensten in verband met beveiligingssystemen,Security systems service activities
8020,Diensten in verband met beveiligingssystemen,Security systems service activities
80200,Diensten in verband met beveiligingssystemen,Security systems service activities
803,Opsporingsdiensten,Investigation activities
8030,Opsporingsdiensten,Investigation activities
80300,Opsporingsdiensten,Investigation activities
8030001,Opsporingsdiensten,Investigation activities
8030002,Privé-detectives,Activities of private detectives
81,Diensten in verband met gebouwen; landschapsverzorging,Services to buildings and landscape activities
811,Diverse ondersteunende activiteiten ten behoeve van voorzieningen,Combined facilities support activities
8110,Diverse ondersteunende activiteiten ten behoeve van voorzieningen,Combined facilities support activities
81100,Diverse ondersteunende activiteiten ten behoeve van voorzieningen,Combined facilities support activities
812,Reiniging,Cleaning activities
8121,Algemene reiniging van gebouwen,General cleaning of buildings
81210,Algemene reiniging van gebouwen,General cleaning of buildings
8122,Overige reiniging van gebouwen; industriële reiniging,Other building and industrial cleaning activities
81220,Overige reiniging van gebouwen; industriële reiniging,Other building and industrial cleaning activities
8122001,"Reinigen van het interieur van allerlei gebouwen : kantoren, fabrieken, werkplaatsen, allerlei commerciële gebouwen, appartementsgebouwen, enz.","Interior cleaning of buildings of all types: offices, factories, workshops, premises of institutions and other premises for commercial or professional use, apartment buildings, etc."
8122002,Lappen van ramen,Window cleaning
8122003,"Schoorsteenvegen en het schoonmaken van vuurplaatsen, kachels, ovens, ketels van centrale verwarming, ventilatiekanalen en uitlaatsystemen","Chimney sweeping and cleaning of hearths, furnaces, boiler incinerators, ventilation ducts and smoke evacuation devices"
8129,Andere reinigingsactiviteiten,Other cleaning activities
81290,Andere reinigingsactiviteiten,Other cleaning activities
8129001,"Desinfecteren en het bestrijden van ongedierte in gebouwen, schepen, treinen, enz.","Disinfection and destruction of pests in buildings, ships, trains, etc."
8129002,"Reinigen van treinen, bussen, vliegtuigen, schepen, enz., inclusief olietankers","Cleaning of trains, buses, aircraft, ships, etc., including oil tankers"
813,Landschapsverzorging,Landscape service activities
8130,Landschapsverzorging,Landscape service activities
81300,Landschapsverzorging,Landscape service activities
8130001,Snoeien van bomen en heggen,Pruning of trees and hedges
8130002,"Aanleggen en onderhouden van tuinen, parken en het groene gedeelte van sportvelden","Creation and maintenance of gardens, parks and green spaces for sports facilities"
82,Administratieve en ondersteunende activiteiten ten behoeve van kantoren en overige zakelijke activiteiten,"Office administrative, office support and other business support activities"
821,Administratieve en ondersteunende activiteiten ten behoeve van  kantoren,Office administrative and office support activities
8211,Diverse administratieve activiteiten ten behoeve van kantoren,Combined office administrative service activities
82110,Diverse administratieve activiteiten ten behoeve van kantoren,Combined office administrative service activities
8219,"Fotokopiëren, documentvoorbereiding en andere gespecialiseerde ondersteunende activiteiten ten behoeve van kantoren","Photocopying, document preparation and other specialised office support activities"
82190,"Fotokopiëren, documentvoorbereiding en andere gespecialiseerde ondersteunende activiteiten ten behoeve van kantoren","Photocopying, document preparation and other specialised office support activities"
8219001,"Verhuur van postbussen, poste restante, enz.","Rental of mailboxes, post office service, etc."
822,Callcenters,Activities of call centres
8220,Callcenters,Activities of call centres
82200,Callcenters,Activities of call centres
823,Organisatie van congressen en beurzen,Organisation of conventions and trade shows
8230,Organisatie van congressen en beurzen,Organisation of conventions and trade shows
82300,Organisatie van congressen en beurzen,Organisation of conventions and trade shows
8230001,Organisatie van beurzen en tentoonstellingen van kunstwerken of roerende goederen van meer dan 50 jaar oud,Organisation of fairs and exhibitions of works of art or movable goods over 50 years old
829,"Zakelijke dienstverlening, n.e.g.",Business support service activities n.e.c.
8291,Incasso- en kredietbureaus,Activities of collection agencies and credit bureaus
82910,Incasso- en kredietbureaus,Activities of collection agencies and credit bureaus
8292,Verpakkingsbedrijven,Packaging activities
82920,Verpakkingsbedrijven,Packaging activities
8292001,"Verpakken (ook automatisch) van diverse goederen en waren voor rekening van derden: vullen van spuitbussen, van flessen en blikjes met vloeistoffen(incl.dranken) ;verpakken van voedingsmiddelen, enz.","Packaging activities (automatic or not) for third parties of various products: filling of atomisers; bottling, filling of beverage cans; packaging of foodstuffs, etc."
8292002,"Etiketteren, zegelen en stempelen","Labelling, stamping and sealing"
8292003,Inpakken van pakjes en geschenken,Packaging of parcels and gift packages
8299,"Overige zakelijke dienstverlening, n.e.g.",Other business support service activities n.e.c.
82990,"Overige zakelijke dienstverlening, n.e.g.",Other business support service activities n.e.c.
84,Openbaar bestuur en defensie; verplichte sociale verzekeringen,Public administration and defence; compulsory social security
841,Openbaar bestuur,Administration of the State and the economic and social policy of the community
8411,Algemeen overheidsbestuur,General public administration activities
84111,Federale overheid,General public administration activities
84112,Overheden van gemeenschappen en gewesten,Community and Regional Public Administration
84113,Provinciale overheid,General public administration activities
84114,"Gemeentelijke overheid, met uitzondering van het O.C.M.W.","Municipal public administration, except Public Centers for Social Action (C.P.A.S.)"
84115,Openbare Centra voor Maatschappelijk Welzijn (O.C.M.W.),Public Centres for Social Action (C.P.A.S.)
84119,Overig algemeen overheidsbestuur,Other general public administration activities
8412,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en andere sociale dienstverlening, exclusief sociale verzekeringen","Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security"
84120,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en andere sociale dienstverlening, m.u.v. sociale verzekeringen","Regulation of the activities of providing healthcare, education, cultural services and other social services, excluding social security"
8413,Openbaar bestuur op het gebied van het bedrijfsleven; stimuleren van het bedrijfsleven,Regulation of and contribution to more efficient operation of businesses
84130,Openbaar bestuur op het gebied van het bedrijfsleven; stimuleren van het bedrijfsleven,Regulation of and contribution to more efficient operation of businesses
842,Algemene overheidsdiensten,Provision of services to the community as a whole
8421,Buitenlandse zaken,Foreign affairs
84210,Buitenlandse zaken,Foreign affairs
8422,Defensie,Defence activities
84220,Defensie,Defence activities
8423,Justitie,Justice and judicial activities
84231,Rechtbanken,Courts
84232,Strafinrichtingen,Prison establishments
84239,Overige activiteiten met betrekking tot justitie,Other activities relating to justice
8424,Openbare orde en civiele veiligheid,Public order and civil security activities
84241,Federale Politie,Federal police
84242,Lokale Politie,Local police
84249,Overige openbare orde en civiele veiligheid,Other public order and civil security activities
8425,Brandweer,Fire service activities
84250,Brandweer,Fire service activities
843,Verplichte sociale verzekeringen,Compulsory social security activities
8430,Verplichte sociale verzekeringen,Compulsory social security activities
84301,"Verplichte sociale verzekeringen, met uitzondering van ziekenfondsen","Compulsory social security, excluding mutual funds"
84302,Ziekenfondsen en zorgkassen,Mutual funds and health insurance funds
84309,Overige instellingen van de sociale zekerheid,Other Social Security Institutions
85,Onderwijs,Education
851,Kleuteronderwijs,Pre-primary education
8510,Kleuteronderwijs,Pre-primary education
85101,Gewoon kleuteronderwijs ingericht door de Gemeenschappen,Community regular nursery education
85102,Provinciaal gesubsidieerd gewoon kleuteronderwijs,Provincial regular nursery education
85103,Gemeentelijk gesubsidieerd gewoon kleuteronderwijs,Subsidised municipal nursery education
85104,Vrij gesubsidieerd gewoon kleuteronderwijs,Free subsidised regular nursery education
85105,Buitengewoon officieel kleuteronderwijs,Specialised nursery education organised by public authorities
85106,Vrij gesubsidieerd buitengewoon kleuteronderwijs,Free subsidised specialist nursery education
85109,"Gewoon kleuteronderwijs, n.e.g.",Nursery education n.e.c.
852,Lager onderwijs,Primary education
8520,Lager onderwijs,Primary education
85201,Gewoon lager onderwijs ingericht door de Gemeenschappen,Community regular primary education
85202,Provinciaal gesubsidieerd gewoon lager onderwijs,Provincial regular primary education
85203,Gemeentelijk gesubsidieerd gewoon lager onderwijs,Subsidised municipal primary education
85204,Vrij gesubsidieerd gewoon lager onderwijs,Free subsidised regular primary education
85205,Buitengewoon officieel lager onderwijs,Specialised primary education organised by public authorities
85206,Vrij gesubsidieerd buitengewoon lager onderwijs,Free Specialised primary education
85207,Alfabetiseringsprogramma's ten behoeve van volwassenen,Adult Literacy
85209,"Gewoon lager onderwijs, n.e.g.",Ordinary primary education n.e.c.
853,Secundair onderwijs,Secondary education
8531,Algemeen secundair onderwijs,General secondary education
85311,Gewoon algemeen secundair onderwijs ingericht door de Gemeenschappen,General ordinary secondary education
85312,Provinciaal gesubsidieerd gewoon algemeen secundair onderwijs,Subsidised general secondary education
85313,Gemeentelijk gesubsidieerd gewoon algemeen secundair onderwijs,Subsidised general secondary education
85314,Vrij gesubsidieerd gewoon algemeen secundair onderwijs,Free subsidised general secondary education
85319,"Gewoon algemeen secundair onderwijs, n.e.g.",General secondary education n.e.c.
8532,"Technisch, beroeps- en buitengewoon secundair onderwijs","Technical, vocational and special secondary education"
85321,Gewoon technisch en beroepssecundair onderwijs ingericht door de Gemeenschappen,Community technical and vocational secondary education
85322,Provinciaal gesubsidieerd gewoon technisch en beroepssecundair onderwijs,Subsidised provincial technical and vocational secondary education
85323,Gemeentelijk gesubsidieerd gewoon technisch en beroepssecundair onderwijs,Subsidised regular technical and vocational secondary education
85324,Vrij gesubsidieerd gewoon technisch en beroepssecundair onderwijs,Free subsidised technical and vocational secondary education
85325,Buitengewoon officieel secundair onderwijs,Specialised secondary education organised by public authorities
85326,Vrij gesubsidieerd buitengewoon secundair onderwijs,Specialised secondary education organised by public authorities
85329,"Technisch, beroeps- en buitengewoon secundair onderwijs, n.e.g.",Specialised technical and vocational secondary education n.e.c.
8532901,Activiteiten van vliegscholen voor beroepsvliegers,Activities of pilot schools for airline pilots
854,Hoger onderwijs en post-secundair niet-hoger onderwijs,Tertiary education and post-secondary non-tertiary education
8541,Post-secundair niet-hoger onderwijs,Post-secondary non-tertiary education
85410,Post-secundair niet-hoger onderwijs,Post-secondary non-higher education
8542,Hoger onderwijs,Tertiary education
85421,Officieel hoger onderwijs,Higher education organised by the public authorities
85422,Vrij gesubsidieerd hoger onderwijs,Free subsidised higher education
85429,"Hoger onderwijs, n.e.g.",Higher education n.e.c.
855,Overig onderwijs,Other education
8551,Sport- en recreatieonderwijs,Sports and recreation education
85510,Sport- en recreatieonderwijs,Sports and recreation education
8552,Cultureel onderwijs,Cultural education
85520,Cultureel onderwijs,Cultural education
8552001,Exploitatie van dansscholen en de activiteiten van dansleraren,Operation of dance schools and activities of dance teachers
8553,Autorijscholen en vlieg- en vaaronderricht,Driving school activities
85531,Autorijscholen,Driving instruction of motor vehicles
8553101,Autorijscholen,Driving Schools
8553102,Motorrijscholen,Motorcycles
85532,Vlieg- en vaaronderricht,Teaching of aircraft and boat operations
8553201,Opleiding van piloten van sportvliegtuigen,Preparation for the pilotage certificate for aircraft
8553202,Vaaronderricht voor zeilers en bestuurders van pleziervaartuigen,Training for sail boat and pleasure craft licenses
8559,"Overig onderwijs, n.e.g.",Other education n.e.c.
85591,Onderwijs voor sociale promotie,Social promotion education
85592,Beroepsopleiding,Professional training
85593,Sociaal-cultureel vormingswerk,Socio-cultural training
85599,Overige vormen van onderwijs,Other forms of education
856,Onderwijsondersteunende activiteiten,Educational support activities
8560,Onderwijsondersteunende activiteiten,Educational support activities
85601,Activiteiten van Centra voor Leerlingbegeleiding (C.L.B.),Activities of the Psycho-Medical-Social Centres (P.M.S.)
85609,Overige onderwijsondersteunende dienstverlening,Other educational support services
86,Menselijke gezondheidszorg,Human health activities
861,Ziekenhuizen,Hospital activities
8610,Ziekenhuizen,Hospital activities
86101,"Algemene ziekenhuizen, m.u.v. geriatrische en gespecialiseerde ziekenhuizen","Activities of general hospitals, except geriatric and specialised hospitals"
86102,Geriatrische ziekenhuizen,Activities of geriatric hospitals
86103,Gespecialiseerde ziekenhuizen,Specialised hospitals
86104,Psychiatrische ziekenhuizen,Activities of psychiatric hospitals
86109,Overige hospitalisatiediensten,Other hospital activities
862,Praktijken van artsen en tandartsen,Medical and dental practice activities
8621,Huisartspraktijken,General medical practice activities
86210,Huisartspraktijken,General medical practice activities
8622,Praktijken van specialisten,Specialist medical practice activities
86220,Praktijken van specialisten,Specialist medical practice activities
8623,Tandartspraktijken,Dental practice activities
86230,Tandartspraktijken,Dental practice activities
869,Overige menselijke gezondheidszorg,Other human health activities
8690,Overige menselijke gezondheidszorg,Other human health activities
86901,Activiteiten van medische laboratoria,Activities of medical laboratories
86902,Activiteiten van bloedtransfusiecentra en bloed- en organenbanken,"Activities of blood collection centres, blood banks and organs"
86903,Ziekenvervoer,Transportation by ambulance
86904,"Activiteiten op het vlak van geestelijke gezondheidszorg, m.u.v. psychiatrische ziekenhuizen en verzorgingstehuizen","Mental health activities, except hospitals and psychiatric homes"
86905,Ambulante revalidatieactiviteiten,Outpatient rehabilitation activities
8690501,Kinesitherapie activiteiten,Physiotherapy
8690502,Logopedie activiteiten,Speech therapy activities
8690503,Ergotherapie activiteiten,Occupational therapy activities
8690504,Orthoptie activiteiten,Orthopaedic activities
8690505,Podologie activiteiten,Podiatry activities
8690506,Pedicure activiteiten,Pedicure activities (primarily medical care)
8690507,"Activiteiten van extramurale revalidatiecentra: autonome centra voor personen met ontwikkelings- en sensoriële stoornissen, die niet verbonden zijn met ziekenhuizen en geen huisvesting bieden",Autonomous extra-hospital and ambulatory centres for functional rehabilitation
86906,Verpleegkundige activiteiten,Activities of nursing practitioners
86907,Activiteiten van vroedvrouwen,Activities of midwives
86909,"Overige menselijke gezondheidszorg, n.e.g.",Other human health activities n.e.c..
8690901,Activiteiten van diëtisten,Activities of dieticians
87,Maatschappelijke dienstverlening met huisvesting,Residential care activities
871,Verpleeginstellingen met huisvesting,Residential nursing care activities
8710,Verpleeginstellingen met huisvesting,Residential nursing care activities
87101,Rust- en verzorgingstehuizen (R.V.T.),Activities of nursing homes (M.S.)
87109,Overige verpleeginstellingen met huisvesting,Other residential nursing care activities
872,Instellingen met huisvesting voor personen met een mentale handicap of psychiatrische problemen en voor drugs- en alcoholverslaafden,"Residential care activities for persons with mental disabilities, persons with psychiatric problem or drug-addicted persons"
8720,Instellingen met huisvesting voor personen met een mentale handicap of psychiatrische problemen en voor drugs- en alcoholverslaafden,"Residential care activities for persons with mental disabilities, persons with psychiatric problem or drug-addicted persons"
87201,Instellingen met huisvesting voor minderjarigen met een mentale handicap,Residential care activities for minors with a mental disability
87202,Instellingen met huisvesting voor volwassenen met een mentale handicap,Residential care activities for adults with a mental disability
87203,Instellingen met huisvesting voor personen met psychiatrische problemen,Residential care activities for people with a psychiatric problem
87204,Instellingen met huisvesting voor drugs- en alcoholverslaafden,Residential care activities for drug-dependent persons
87205,Activiteiten van beschut wonen voor personen met psychiatrische problemen,Protected housing activities for people with a psychiatric problem
87209,Andere instellingen met huisvesting voor personen met een mentale handicap of psychiatrische problemen en voor drugs- en alcoholverslaafden,"Other residential care activities for persons with mental disabilities, persons with psychiatric problem or drug-addicted persons"
873,Instellingen met huisvesting voor ouderen en voor personen met een lichamelijke handicap,Residential care activities for elderly persons or persons with physical disabilities
8730,Instellingen met huisvesting voor ouderen en voor personen met een lichamelijke handicap,Residential care activities for the elderly and disabled
87301,Rusthuizen voor ouderen (R.O.B.),Activities of nursing homes for the elderly (M.R.P.A.)
87302,Serviceflats voor ouderen,Residential services activities for the elderly
87303,Instellingen met huisvesting voor minderjarigen met een lichameijke handicap,Residential care activities for minors with motor disabilities
87304,Instellingen met huisvesting voor volwassenen met een lichameijke handicap,Residential care activities for adults with motor disabilities
87309,"Instellingen met huisvesting voor ouderen en voor personen met een lichamelijke handicap, n.e.g.",Other residential care activities for the elderly or disabled
879,Overige maatschappelijke dienstverlening met huisvesting,Social work activities with accommodation
8790,Overige maatschappelijke dienstverlening met huisvesting,Social work activities with accommodation
87901,Integrale jeugdhulp met huisvesting,Youth hostel services with accommodation
87902,Algemeen welzijnswerk met huisvesting,General social services with accommodation
87909,"Overige maatschappelijke dienstverlening met huisvesting, n.e.g.",Other residential care n.e.c.
88,Maatschappelijke dienstverlening zonder huisvesting,Social work activities without accommodation
881,Maatschappelijke dienstverlening zonder huisvesting voor ouderen en lichamelijk gehandicapten,Social work activities without accommodation for the elderly and disabled
8810,Maatschappelijke dienstverlening zonder huisvesting voor ouderen en lichamelijk gehandicapten,Social work activities without accommodation for the elderly and disabled
88101,"Activiteiten van gezins- en bejaardenzorg aan huis, m.u.v. (thuis)verpleging","Activities of live-in caregivers, except home care"
88102,Activiteiten van dag- en dienstencentra voor ouderen,Activities of day centres and services for the elderly
88103,"Activiteiten van dagcentra voor minderjarigen met een lichamelijke handicap, met inbegrip van ambulante hulpverlening","Activities of day centres for minors with a motor disability, including outpatient services"
88104,"Activiteiten van dagcentra voor volwassenen met een lichamelijke handicap, met inbegrip van ambulante hulpverlening","Activities of day centres for adults with motor disabilities, including outpatient services"
88109,Overige maatschappelijke dienstverlening zonder huisvesting voor ouderen en lichamelijk gehandicapten,Other social work activities without accommodation for the elderly and disabled
889,Overige maatschappelijke dienstverlening zonder huisvesting,Other social work activities without accommodation
8891,Kinderopvang,Child day-care activities
88911,Kinderdagverblijven en crèches,Nurseries and day-care centres
8891101,"Kinderkribben, onthaalmoeders en overige kinderopvang",Nurseries and day-care centres
88912,Kinderopvang door onthaalmoeders,Child care activities
88919,Overige kinderopvang,Other social work without accommodation for young children
8899,"Overige maatschappelijke dienstverlening zonder huisvesting, n.e.g.",Other social work activities without accommodation n.e.c.
88991,"Activiteiten van dagcentra voor minderjarigen met een mentale handicap, met inbegrip van ambulante hulpverlening","Activities of day centres for minors with a mental disability, including outpatient services"
88992,"Activiteiten van dagcentra voor volwassenen met een mentale handicap, met inbegrip van ambulante hulpverlening","Activities of day centres for adults with mental disabilities, including outpatient services"
88993,Ambulante hulpverlening aan drugs- en alcoholverslaafden,Ambulatory social work for addicted persons
88994,Integrale jeugdhulp zonder huisvesting,Youth hostel services without accommodation
88995,Beschutte en sociale werkplaatsen,Activities of adapted work enterprises
88996,Algemeen welzijnswerk zonder huisvesting,General social services without accommodation
88999,"Andere vormen van maatschappelijke dienstverlening zonder huisvesting, n.e.g.",Other forms of social action without accommodation n.e.c.
90,"Creatieve activiteiten, kunst en amusement","Creative, arts and entertainment activities"
900,"Creatieve activiteiten, kunst en amusement","Creative, arts and entertainment activities"
9001,Uitvoerende kunsten,Performing arts
90011,Beoefening van uitvoerende kunsten door zelfstandig werkende artiesten,Performances by independent artists
90012,Beoefening van uitvoerende kunsten door artistieke ensembles,Production of shows by artistic ensembles
9002,Ondersteunende activiteiten voor uitvoerende kunsten,Support activities to performing arts
90021,Promotie en organisatie van uitvoerende kunstevenementen,Promotion and organisation of live performances
90022,Ontwerp en bouw van podia,Design and production of décors
90023,"Gespecialiseerde beeld-, verlichtings- en geluidstechnieken","Specialised services in sound, image and lighting"
90029,Overige ondersteunende activiteiten voor de uitvoerende kunsten,Other support activities to performing arts
9003,Scheppende kunsten,Artistic creation
90031,"Scheppende kunsten, m.u.v. ondersteunende diensten","Artistic creation, except support activities"
90032,Ondersteunende activiteiten voor scheppende kunsten,Support activities for artistic creation
9004,Exploitatie van zalen,Operation of arts facilities
90041,"Exploitatie van schouwburgen, concertzalen en dergelijke","Management of theatres, concerts and suchlike"
